PRIO_Weapons_Code;Description
100;Small Arms, Light Weapons, Ammunition, Explosives, Missiles,Parts & Accessories
150;Small Arms & Light Weapons
200;Small Arms
210;Pistols & Revolvers
220;Rifles/Shotguns - Sport
230;Rifles/Shotguns - Military
240;Machine Guns - Sub & Light
250;Military Weapons
300;Light Weapons
310;Machine Guns - Heavy
320;Cannon
330;Mortars < 100mm
340;Missile & Rocket Launchers - Man Portable
350;Grenade Launchers
400;Ammunition, Explosives & Missiles
405;Ammunition - all categories
410;Small Arms and Cannon Ammunition
415;Small Arms Ammunition
420;Grenades
430;Missiles & Rockets
440;Landmines
450;Military Explosives
500;Parts & Accessories
